Term,Clinton,Trump
helping,1.290853488,0.774681255
her god,1.103338392,0.906340255
her own,1.753690665,0.570225992
her own health,1.044033409,0.957823755
here,1.070742466,0.933931391
here at,2.480874902,0.403083605
here at home,2.325593956,0.429997678
here in,4.044523157,0.247247935
here in new,1.737037351,0.57569286
here with,2.151567245,0.464777479
high,1.733844595,0.576752959
high school,1.43597515,0.696390881
higher,1.396404471,0.716124891
higher education,3.010663369,0.332152711
highly,0.204961223,4.878971667
hillary,0.194417893,5.143559489
hillary clinton,0.904257375,1.105879838
him,0.65517705,1.52630499
his,1.949653666,0.51291161
his or,0.81152245,1.2322518
his or her,0.764109227,1.308713421
hispanics,0.21697098,4.608911301
history of,0.417469049,2.395387158
history of the,0.887038284,1.127347058
hit,0.225270485,4.439107939
hold,2.199997859,0.454545897
holding,1.419755805,0.704346477
home,1.176664141,0.849860181
home in,1.096629585,0.911884937
home in america,1.044585313,0.957317691
homes,4.403511804,0.227091477
hope,1.707624431,0.585608862
hope that,2.807533372,0.356184546
hope you,1.703721283,0.586950466
hope you will,3.792962911,0.263646132
horrible,0.316913109,3.155439055
hotel,0.924420042,1.081759324
house,1.138053494,0.878693317
how,1.833230139,0.54548525
how do we,1.372961339,0.728352628
how do you,0.684687287,1.460520765
how hard,1.773567467,0.563835331
how they,1.253166704,0.797978431
how to,0.355597629,2.812167233
how we,1.383342535,0.722886758
human rights,2.965362582,0.33722689
husband,2.519152485,0.3969589
ideas,2.670020814,0.374528916
if,0.991276458,1.008800312
if don,0.425890892,2.348019218
if it,0.801671641,1.247393507
if win,0.475895489,2.101301698
if you look,1.110623625,0.900395037
if you work,1.167799374,0.856311471
illegal,0.272355947,3.671665737
illegal immigrants,0.343230217,2.913496397
illegal immigration,0.396165335,2.524198641
imagine,2.447951152,0.408504883
imagine that,1.716704627,0.582511391
imagine that we,1.305918162,0.765744768
imagine tomorrow,1.192101381,0.838854829
immigration reform,2.472593401,0.40443366
important,1.344011412,0.744041301
important to,1.645162932,0.607842531
impossible,0.265520836,3.766182777
improve,2.555124808,0.391370315
improve the,1.032641177,0.968390591
in,1.016631783,0.983640308
in america,1.540053426,0.649328123
in america and,1.296135108,0.771524507
in charge,0.493598626,2.025937568
in chief,1.956633483,0.511081921
in china,1.071318069,0.933429604
in flint,1.388157973,0.720379107
in infrastructure,1.521458763,0.657263953
in landslide,0.717950549,1.39285359
in mexico,0.927811178,1.07780551
in one,0.389843479,2.565132045
in our,1.472291565,0.679213292
in our country,1.326253445,0.754003696
in people,1.966340913,0.508558813
in people lives,1.491522069,0.670456054
in poverty,0.984059855,1.01619835
in recent,1.875783469,0.533110573
in school,2.450317869,0.408110316
in terms,0.70810978,1.412210407
in the,1.28615669,0.777510243
in the 1990,2.055084595,0.486597974
in the first,1.552741179,0.644022335
in the history,0.420374729,2.378829961
in the polls,0.681521061,1.467306085
in the senate,2.045152372,0.488961123
in the way,1.154619488,0.866086196
in the white,0.737397615,1.35612047
in the world,0.568980393,1.757529806
in this campaign,1.725097399,0.579677414
in this country,0.643317358,1.554442746
in this election,0.658749682,1.518027298
in to,1.547552897,0.646181466
incarceration,1.502372735,0.665613783
incentives,2.160351319,0.462887675
including,1.713609805,0.583563421
income,0.952191201,1.050209242
incomes,1.815690543,0.550754645
incompetent,0.359028433,2.785294726
incredible,0.181199832,5.518768917
indiana,0.334186282,2.992343053
inequality,2.927126719,0.341631947
information,2.1448351,0.466236309
infrastructure,1.351075983,0.740150822
infrastructure bank,1.922732101,0.520093257
inherited,1.37878963,0.725273804
insurance,3.832152648,0.260949939
insurance program,1.062763311,0.940943284
intelligence,2.838731976,0.35226996
interest rate,2.066428437,0.483926751
interesting,0.542326522,1.843907607
into our,0.528758365,1.891223034
into our country,0.24615631,4.062459334
into the country,0.40637413,2.460786569
into this country,0.329986631,3.0304258
invest,3.02856013,0.330189911
invest in,2.252992126,0.443854192
invested,1.614338692,0.619448698
investing in,1.811495382,0.552030113
investment,7.872513626,0.127024232
investments,2.692542624,0.371396163
iran deal,0.555987419,1.798601848
is about,1.625360834,0.615247998
is also,1.320446834,0.757319397
is disaster,0.624821446,1.600457229
is going,0.404403897,2.472775378
is going on,0.717408371,1.393906234
is going to,1.08917109,0.918129401
is happening,0.751094008,1.331391263
is incredible,0.60506207,1.652723
is not just,1.331552132,0.751003266
is not only,5.746051248,0.174032559
is not the,4.762408217,0.2099778
is ok,0.404459085,2.472437974
is playing,0.939533318,1.06435821
is playing the,0.943601816,1.05976905
is so,0.83371733,1.1994473
is to,1.087116608,0.919864523
is what,1.096416834,0.912061881
is why,1.691051494,0.591348048
is working,2.256039742,0.443254603
islamic,0.16625869,6.014723185
islamic terrorism,0.678851532,1.473076148
issue,2.05060797,0.487660252
issues,2.623724444,0.381137586
issues that,1.896535882,0.527277132
it,0.918479419,1.088756023
it also,1.014561105,0.985647877
it and,0.693024814,1.442949777
it and they,0.587576347,1.701906494
it because,0.746998682,1.338690448
it but,0.968573858,1.032445788
it easier,1.266733189,0.789432225
it going,0.594036998,1.683396831
it going to,0.501785103,1.992884991
it is also,2.159278433,0.463117671
it is going,1.172838137,0.852632574
it possible,0.922498177,1.084012983
it possible for,1.289205748,0.775671379
it takes,2.841022152,0.351985992
it takes to,2.11188501,0.473510629
it was,1.095909104,0.912484436
it with,0.876180899,1.141316823
ivanka,0.176182078,5.675946232
japan,0.165790492,6.031708977
jeb,0.310404991,3.221597684
jeb bush,0.635732176,1.572989441
jeff,0.257797335,3.879016055
job,0.924430723,1.081746825
jobs,0.873031957,1.145433442
jobs of,1.043710699,0.958119909
jobs of the,1.97776848,0.505620354
jobs overseas,1.416750629,0.70584052
jobs with,2.001717929,0.499570886
jobs with rising,1.069131806,0.935338369
join,1.754602774,0.569929567
jordan,1.95043847,0.512705228
judges,0.358703252,2.787819722
june,0.707697582,1.413032948
16-Jun,0.686512867,1.456636937
just,1.277881849,0.782544959
just as,0.750721972,1.332051062
just for,1.796596481,0.556608014
just tell,0.431176624,2.31923519
just those,1.136543136,0.879861017
just those at,1.116551177,0.895615016
just want,0.571758995,1.748988664
just want to,0.289499968,3.454231812
justice,1.315422458,0.760212047
kasich,0.382378833,2.615207523
keep,2.164262652,0.462051128
keep our,1.113648231,0.897949615
keep us,1.275492012,0.784011182
keep working,1.463743949,0.683179596
keeping,2.017672538,0.495620563
kids,3.14394998,0.318071218
kids and,1.131387563,0.88387042
kids who,2.526072411,0.39587147
killers,0.330430759,3.026352642
kind,1.315377378,0.760238101
kind of,1.411556762,0.708437682
kind of country,1.95895753,0.510475589
kindergarten,1.798278049,0.556087531
kinds,1.764437327,0.566752916
kinds of,1.691231078,0.591285256
knocked,1.468052513,0.681174543
knocked down,2.83614283,0.352591551
know if,0.52281071,1.912738168
know if you,1.008694098,0.991380837
know that,2.210383595,0.452410162
know there are,1.90718451,0.524333118
know we can,2.650799773,0.377244638
know what they,0.5570557,1.795152621
koch brothers,1.300676822,0.768830491
korea,0.721554067,1.385897532
ladies,0.48166779,2.076119726
lady,2.093049715,0.477771738
laid,1.021261329,0.979181304
laid out,2.112362858,0.473403514
landslide,0.491615412,2.034110354
largest,0.639331498,1.56413379
last night,0.235644284,4.243684514
latino,3.34631754,0.298835956
law,1.124867321,0.888993734
law enforcement,0.878263707,1.138610183
law school,1.236794002,0.808542084
lead,1.493416924,0.669605376
lead to,1.946076207,0.513854492
leaders,1.729687302,0.578139181
learn,1.814924627,0.550987069
learned,1.649399356,0.606281309
learning,6.711170112,0.149005313
leaving,0.301705341,3.314492205
left behind,1.315057281,0.76042315
left out,2.245241308,0.445386425
legally,0.978097242,1.022393232
less money,0.274718722,3.640086817
let make,1.985009903,0.503775824
let me tell,0.644025368,1.552733867
lgbt,1.247917589,0.801334967
life,0.807890877,1.23779093
lift,0.949477939,1.053210358
like,0.997097583,1.002910865
likely,1.632629085,0.612508995
likely to,2.798661278,0.357313694
little bit,0.838230922,1.192988679
live,0.698181201,1.432292934
live up,1.972331114,0.50701426
lives,1.675926005,0.596685055
lives and,1.667194786,0.599809937
living,1.574808612,0.634997797
ll,0.773175777,1.293366954
loans,1.677062205,0.596280804
lobby,1.579174572,0.633242212
lobbyists,0.467048693,2.141104373
local,0.87537394,1.14236894
long term,1.670444576,0.598643028
long term growth,1.639126127,0.610081179
look,0.828243877,1.207373852
look at,1.107835351,0.902661211
look at what,0.968849555,1.032151993
looking forward,1.457417278,0.68614529
looking forward to,1.408181316,0.710135825
loophole,3.052594369,0.3275902
loopholes,2.216181389,0.451226603
lot about,2.588469385,0.386328695
lot of money,1.031297066,0.969652715
love,0.524881783,1.905190907
love the,0.451359397,2.215529367
love you,0.469475964,2.130034498
loved ones,1.529896494,0.653638991
magazine,0.258019707,3.875672955
mails,0.366573662,2.727964675
majority of,3.766991929,0.265463802
make,1.577046508,0.634096708
make america,0.289615205,3.452857392
make america great,1.678521383,0.595762443
make college,1.09012338,0.917327358
make college affordable,1.012474573,0.987679125
make great,0.979908784,1.020503149
make her,1.178991444,0.848182576
make her own,1.103574967,0.906145962
make it,0.876771634,1.140547847
make it possible,1.621373734,0.616760947
make progress,1.207804728,0.827948407
make sure,1.884775523,0.530567162
make sure that,1.454465772,0.687537664
make sure we,1.269327256,0.787818898
making,1.768955958,0.565305199
making sure,2.273584128,0.439834175
many americans,1.828465028,0.546906823
many of you,1.020999198,0.979432699
marco,0.706365785,1.415697109
markets,2.440124781,0.409815108
marriage,0.822581428,1.215685117
marriage equality,1.385321316,0.721854192
marriage equality and,1.066545782,0.937606258
massive,0.18561145,5.38759865
matters,3.688866662,0.271085971
mayor,2.323072223,0.430464447
me,1.055251166,0.947641692
me tell,0.526613525,1.898925782
me tell you,0.672413518,1.487180096
me to be,1.378242722,0.725561604
mean,0.726465599,1.376527672
measures,0.99739077,1.002616056
media,0.212103934,4.714669754
meet,1.733467604,0.57687839
men,0.896975236,1.11485798
mental,1.197353523,0.835175227
mental health,2.348261607,0.425846932
mess,0.425401999,2.35071768
mess with,0.8054122,1.241600264
mess with us,0.936594663,1.067697734
met,2.432336264,0.411127365
mexico,0.335378107,2.981709235
mexico and,1.148069565,0.871027358
middle,0.462258205,2.163293131
middle class,3.678388535,0.271858177
middle class families,1.216758642,0.821855679
miles,0.414140541,2.414639239
military,1.201640761,0.832195472
million,0.616599204,1.621799044
million and,0.341022188,2.932360518
million kids,1.488707171,0.671723774
millions and,0.617315462,1.619917306
millions of americans,1.346061834,0.742907922
millions of dollars,0.423857672,2.359282531
minimum,0.981601157,1.018743705
minimum wage,1.966680446,0.508471014
minutes,0.416165083,2.402892604
mom,3.373568432,0.296422029
money,0.515224081,1.940903068
money and,0.94735112,1.055574833
money for,0.562030905,1.779261586
months ago,0.829355614,1.205755388
more,1.392540332,0.718112056
more affordable,1.114068908,0.897610545
more countries,2.167317944,0.46139977
more good,1.463556525,0.683267084
more good jobs,1.252177972,0.798608522
more in,1.545289588,0.647127896
more jobs,2.053994101,0.486856315
more kids,1.108184311,0.902376969
more likely,1.338456631,0.747129176
more people,1.420799203,0.703829224
more solar,1.061359538,0.942187793
more support,1.172798224,0.852661591
more to,0.75726516,1.320541407
more to help,1.200388364,0.833063723
more votes,0.62483006,1.600435164
more votes than,0.818276008,1.222081535
morning,0.313478199,3.190014497
mortgage,1.997470718,0.500633121
mortgage or,1.139608624,0.877494237
most dishonest,0.728579762,1.37253332
mother,5.569622741,0.179545374
mothers,1.845080155,0.541981874
move,1.254221696,0.797307209
mr,0.700712015,1.427119813
mr president,0.636387241,1.571370284
mr trump,0.531465923,1.881588181
mrs,3.508001459,0.285062595
mrs clinton,2.146709604,0.465829192
muslim,2.036810494,0.490963692
muslim american,2.001781186,0.4995551
muslims,3.748021298,0.266807449
must do,2.267725502,0.440970479
my,1.149571403,0.869889419
my first,1.149655467,0.869825812
my first term,1.120416168,0.8925255
my friends,3.149177148,0.317543267
my heart,1.136597373,0.879819032
my husband,7.015283904,0.142545906
my office,0.475149709,2.104599837
my plan,1.117032921,0.895228763
my second,1.052336381,0.950266491
my wife,0.208077105,4.805910766
myself,0.277466913,3.604033317
national,2.272322297,0.440078417
national guard,1.230089533,0.812948955
national security,2.028720053,0.492921632
nearly,1.242042698,0.8051253
necessary,2.33542532,0.42818753
need,1.495149465,0.668829454
need more,2.062501294,0.484848181
need to,1.423659399,0.702415199
need to be,0.919874719,1.087104558
need to do,1.512944561,0.660962751
need to keep,1.181492623,0.846387002
need to make,0.808441092,1.236948505
needed,2.473270802,0.404322891
needs,0.949251672,1.053461405
negative,0.566600128,1.764913119
negotiation,0.433250865,2.308131573
never,0.805409258,1.2416048
never seen,0.546497146,1.829835721
new,0.908012702,1.10130618
new jobs,1.940078457,0.515443072
new york times,0.475196481,2.10439269
next president,1.602316958,0.624096247
nice,0.23049542,4.338480998
no fly,2.485248872,0.402374189
nobody,0.424895066,2.35352227
nobody is,1.33000728,0.751875583
nobody is going,0.935264066,1.069216745
nominee,1.155743506,0.865243884
not enough,2.04168615,0.489791244
not going,1.530646101,0.653318883
not going to,0.751342508,1.330950917
not just,3.731872916,0.267961965
not only,2.359488048,0.423820753
not supposed,0.770814484,1.297329022
now they,0.379745174,2.633344855
nuclear,1.349684133,0.740914097
nuclear weapons,1.748205579,0.572015106
number,0.654852392,1.52706169
number one,0.337146467,2.966069935
numbers,0.299340425,3.340678088
nurses,2.896167143,0.345283939
obamacare,0.426160893,2.346531595
obligations,2.367050767,0.422466647
of,1.121709874,0.89149612
of america,0.477348186,2.094906884
of americans,2.435233595,0.410638225
of course,1.219696733,0.819875935
of doing,2.285141051,0.437609748
of dollars,0.67230288,1.487424834
of gun,1.295793742,0.771727759
of law,0.628905414,1.590064225
of law school,1.209012389,0.827121384
of mine,0.441119439,2.266959719
of money,0.468306681,2.135352837
of my first,1.116898697,0.895336348
of opportunity,1.494663744,0.669046803
of our,0.994278481,1.005754443
of people,0.735722281,1.35920853
of poverty,1.623386634,0.615996201
of state,1.952202276,0.512242001
of state and,1.817046924,0.55034352
of the day,1.951619287,0.512395018
of the future,1.13251175,0.882993046
of the great,0.640015011,1.562463353
of the greatest,0.476357945,2.099261723
of the things,0.747145047,1.3384282
of their,0.981901827,1.018431754
of these,1.044809729,0.957112068
of these guys,0.779215563,1.283341924
of us,1.147687335,0.871317448
of which,0.313373274,3.191082598
of you,1.448657508,0.690294286
of you who,1.145640198,0.8728744
of young,3.684957888,0.271373522
of young people,1.646897747,0.607202239
off of,2.085948648,0.479398187
offensive,1.658190839,0.603066895
offer,1.899947722,0.526330271
officials,1.167817863,0.856297914
often,3.241787857,0.308471758
oh,0.414562072,2.41218401
oil,0.466685566,2.142770365
ok,0.371513537,2.691691957
old days,0.563838831,1.773556459
older,1.061890171,0.941716975
on,1.164798324,0.858517719
on 11,2.061461905,0.485092641
on both,1.45515375,0.687212606
on both sides,1.013972009,0.986220518
on june 16,0.777952954,1.285424774
on television,0.462048889,2.16427314
on the,1.113944703,0.897710629
on the border,0.649977699,1.538514324
on the ground,1.409996876,0.70922143
on the progress,1.145881048,0.872690932
on the wealthy,1.122309718,0.891019639
on wall,1.374535808,0.727518333
once,1.257864641,0.794998101
once again,2.963592053,0.337428358
once and for,1.482484849,0.67454315
one,1.163606077,0.859397368
one another,1.045812166,0.956194652
one of the,0.62449438,1.601295436
one thing,1.264262847,0.790974759
ones,1.233230867,0.810878179
online,2.214986977,0.451469923
only candidate,1.992130071,0.501975255
opportunities,6.846338514,0.146063476
opportunities that,1.280826547,0.780745841
opportunity,1.447851747,0.69067845
opportunity and,1.341721547,0.745311128
opportunity to,0.876211834,1.141276528
opposition,1.835439056,0.544828768
optimism,1.043381938,0.958421804
or,1.286793289,0.777125595
or five,0.708065949,1.412297825
or her,1.069705625,0.934836629
or her god,1.098388002,0.910425094
organized,1.996695588,0.50082747
other day,0.850170332,1.176234881
other than,0.516407772,1.936454203
others,2.192894033,0.456018387
others who,1.289848108,0.775285085
our,0.743346728,1.345267238
our children,1.324621638,0.754932557
our country safe,1.167218525,0.856737602
our economy,2.161356916,0.462672311
our efforts,2.607406784,0.383522819
our future,2.913450471,0.343235627
our history,4.081607867,0.245001488
our jobs,0.350498645,2.853078073
our kids,0.685280426,1.459256623
our military,0.348121603,2.872559448
our rights,1.271266734,0.786616981
our teachers,1.30440279,0.766634362
our values,2.110695918,0.473777389
our vets,0.778374226,1.284729076
out how,1.717653131,0.582189723
out how to,1.452395269,0.688517803
out how we,1.135037868,0.881027874
out of poverty,1.472014722,0.679341032
over,0.747910814,1.337057816
over here,0.485735999,2.058731495
over the,0.999471052,1.000529228
over the place,0.650828395,1.536503335
overseas,1.700430927,0.588086222
overturn,1.646237106,0.607445912
own,1.537300468,0.650490923
own health,1.167926441,0.856218307
own health care,1.085689522,0.92107364
owners,1.09133346,0.916310217
page,0.426834348,2.342829258
paid,4.03183089,0.248026276
paid family,1.077683388,0.927916316
paid family leave,1.069825988,0.934731453
paid leave,1.341651943,0.745349795
panels,1.359629374,0.735494554
parent,2.789344585,0.358507158
parenthood,1.627385865,0.614482417
parents,1.746029564,0.572727988
part,1.17739399,0.849333366
part of,1.813333614,0.551470503
particularly,4.91107884,0.203621248
partisan,1.459915475,0.684971163
partner,1.783438311,0.560714656
partners,1.974048441,0.506573182
past,4.02014784,0.248747071
path,1.176422998,0.850034385
path to,1.492095481,0.670198397
path to citizenship,1.368593411,0.730677199
patton,0.478001666,2.092042916
pay,2.194689118,0.4556454
pay attention,1.199214056,0.833879486
pay back,2.511581568,0.398155494
pay for women,1.030726548,0.970189428
paying,1.203599219,0.83084135
paying jobs,0.750153643,1.333060247
people across,1.700098225,0.588201308
people are,0.97689171,1.023654914
people are going,0.350275792,2.854893267
people come,0.782318288,1.278252106
people in,0.686307175,1.457073503
people in the,0.52880618,1.891052031
people lives,1.437090241,0.695850526
people that,0.240038949,4.165990586
people that are,0.348021441,2.873386183
people to,1.536659577,0.650762222
people who,1.138723211,0.878176531
people who are,0.997121246,1.002887065
people who have,1.873912379,0.533642881
people with,1.065038236,0.938933426
people with disabilities,1.379350317,0.72497899
percentage,1.059067075,0.944227258
percentage of,0.941738463,1.061865942
person,0.505454874,1.978415981
phenomenal,0.290419859,3.443290698
plan,1.206064284,0.8291432
plan to,1.66433861,0.600839273
plane,0.403479307,2.478441847
planned,3.198767668,0.312620391
planned parenthood,1.031527739,0.969435878
plans,1.840589799,0.543304109
plant,0.691318301,1.446511684
plant in,0.591712636,1.690009539
playing the,3.828488036,0.261199719
policies,1.609432532,0.621337012
politician,0.170311646,5.871589073
politicians,0.206809004,4.835379418
poll,0.166614961,6.001861999
polls,0.376156874,2.658465307
poor,0.866243016,1.154410462
possible,1.978723903,0.505376217
possible for,1.368862189,0.73053373
post,0.437323227,2.286638209
potential,2.205680995,0.453374718
pouring,0.283906328,3.522288523
poverty,1.670990764,0.598447353
power every,1.076715296,0.928750621
pre,2.05668607,0.486219076
prepare,0.877878821,1.13910938
prepared,1.455616002,0.686994371
prescription,2.255705545,0.443320274
prescription drug,1.255319386,0.796610019
president,1.256195598,0.796054374
president elect,2.180675666,0.458573467
president obama,0.893190439,1.119582069
president obama and,3.045467025,0.328356863
president to,2.766320176,0.361491055
president will,0.941557264,1.062070294
press,0.498163907,2.00737144
prevent,2.95918005,0.337931448
pride,3.565422788,0.280471647
priority,3.527744667,0.283467227
prison,1.599497402,0.625196389
prisoners,0.343789154,2.908759598
prisoners back,0.619072076,1.615320798
privatize,3.179602573,0.314504715
probably,0.412678092,2.42319624
problems,2.09820905,0.476596934
problems that,1.867784686,0.535393618
product,0.421551106,2.37219162
program,2.541306205,0.393498429
programs,3.84129036,0.260329188
progress,3.759530588,0.265990654
progress we,1.456151195,0.686741874
progress we have,1.170790971,0.85412343
progressive,5.09545801,0.196253212
promise,1.102006622,0.907435563
promise of,1.621733879,0.616623981
promise of america,1.123397443,0.890156913
proposing,1.480022858,0.67566524
prosperity,1.046722546,0.955363008
protesters,0.485717365,2.058810479
provide,1.776995083,0.562747759
provided,1.704499875,0.586682355
public,2.139292674,0.467444222
public college,1.254113907,0.797375737
public college or,1.103329002,0.906347969
public schools,1.454408998,0.687564503
public service,1.844245482,0.542227165
pursue,1.714342177,0.583314121
push,1.196125921,0.83603238
put up,0.421044024,2.375048556
quality,1.048790657,0.953479127
quality affordable,1.162632326,0.860117148
radical,0.452906582,2.207960846
radical islam,0.161324453,6.198688322
radical islamic,0.851008133,1.175076901
radical islamic terrorism,1.332631822,0.750394808
radicalization,1.340782508,0.745833119
raise,1.503988675,0.664898624
raise incomes,1.154563141,0.866128464
raise the,1.554269501,0.643389064
raise the minimum,1.158422473,0.863242921
raising,1.451886334,0.688759152
raising the,1.76990607,0.565001735
rates,2.434925062,0.410690257
re,1.145840449,0.872721853
re doing,0.424827837,2.353894712
re going,1.241529374,0.805458188
re going to,1.4601537,0.684859409
reach,1.45134341,0.689016805
read,0.745987591,1.340504872
real,1.613151201,0.619904693
real estate,0.361287508,2.767878703
recession,5.993812665,0.166838715
recognize,3.192303458,0.313253428
recovery,4.694940868,0.212995228
refinance,2.416365553,0.413844668
reform,2.082575442,0.480174682
reform and,1.623606589,0.61591275
region,1.817507142,0.550204165
remember this,0.415382615,2.407419002
renewable,2.560515897,0.390546296
renewable energy,1.476044608,0.6774863
renewable energy to,1.087267475,0.919736884
reporters,0.419076211,2.386200827
reproductive,1.855496059,0.538939436
republican candidates,3.959916202,0.252530596
republican party,0.520423682,1.921511328
republicans,3.947995816,0.253293075
republicans and,0.701358443,1.425804465
republicans and democrats,1.328615767,0.752663053
republicans are,2.113736325,0.473095905
republicans have,2.221794337,0.450086663
republicans to,1.494677002,0.669040869
research,2.387419183,0.418862346
resources,1.77429709,0.563603472
respected,0.587518745,1.702073352
responsibility,1.714539128,0.583247115
rest,0.844108787,1.184681424
rest of,1.503876682,0.664948138
rest of the,2.080317614,0.480695829
results,2.83662397,0.352531746
retirement,2.308637501,0.43315592
rich,0.637862383,1.56773628
rid,0.611490575,1.635348183
rid of,0.561823275,1.779919141
rigged,0.259256806,3.857179351
right here,1.203757271,0.830732262
right here in,0.744629622,1.342949528
right to,0.702333217,1.42382558
right to make,1.209764002,0.826607502
right to vote,2.216790247,0.45110267
right wing,2.685181517,0.372414302
rights,1.292866124,0.77347529
rights and,1.037154121,0.964176856
rights women,1.183248664,0.845130893
rights women rights,1.104229536,0.905608813
rise,1.835988569,0.544665701
rising,1.679312135,0.595481911
rising incomes,1.051078125,0.951404064
risk,2.976082232,0.336012221
room,0.928446235,1.077068291
rubio,1.213667219,0.823949089
run,0.554833003,1.802344119
run against,0.439989155,2.272783294
running against,0.458275642,2.182092845
running for president,1.804815004,0.554073408
sacrifice,2.003379608,0.499156523
safe,0.867268751,1.153045119
safe and,1.927297287,0.518861313
safety,0.959416372,1.042300329
safety reform,1.012479053,0.987674754
said,1.06357273,0.940227191
said don,0.309360669,3.232472967
said how,0.394973675,2.531814303
said it,1.091138079,0.916474293
said mr,0.742495105,1.346810226
said to,0.647805668,1.543672817
said trump,0.672736413,1.486466291
same,1.282180391,0.779921458
sanctions,3.681368969,0.27163808
say,0.836582919,1.195338773
say donald,0.499866922,2.000532454
say it,0.492079956,2.032190068
say mr,0.642297447,1.556911062
say mr president,0.678305702,1.474261527
say that,0.956284789,1.04571359
say you,0.78205861,1.278676544
saying,0.908653352,1.100529699
school,2.393815866,0.417743075
school and,1.014408738,0.985795925
schools,2.539581141,0.393765721
scientist,5.618063016,0.177997291
scotland,0.443083188,2.256912534
secretary,1.143399157,0.874585217
secretary of,0.622167214,1.607284952
secretary of state,0.976017473,1.024571821
security,0.742691292,1.346454456
security and,1.787990482,0.559287094
see,0.863349977,1.158278829
see the,0.772008699,1.295322192
seen,0.682800097,1.464557495
sen,2.749025988,0.363765204
sen clinton and,1.542415856,0.648333584
senate,1.231095442,0.812284707
senator,3.483957549,0.287029904
senator from,1.551056761,0.644721731
senator from new,1.591787488,0.628224564
senator sanders,2.825524217,0.353916627
sense gun safety,1.030380929,0.970514857
serious,1.838328986,0.543972275
serve,1.772876551,0.564055066
service,2.173311927,0.460127231
services,2.109691387,0.474002978
serving,2.553520449,0.39161621
set,1.452041234,0.688685677
share,1.424331588,0.702083706
share in,1.150587568,0.869121158
share of,1.977359562,0.505724917
shared,1.06460668,0.939314038
shareholders,3.481726548,0.287213825
sharing,2.899592312,0.34487607
she,0.611875048,1.634320608
she will,0.393007942,2.544477843
should,1.452053563,0.688679829
should be,1.035079002,0.966109832
should be able,1.039336895,0.962151931
should have to,1.154384717,0.866262335
sides,1.216523793,0.822014338
sign,0.307994296,3.246813376
since the great,1.827573377,0.547173652
single day,2.300472955,0.434693222
skills,2.716449333,0.36812761
small,2.1169829,0.472370372
small business,2.338138597,0.427690643
small businesses,2.705097518,0.36967244
smart,0.471003862,2.123124843
smart people,0.610563228,1.637832012
so badly,0.566197146,1.766169271
so big,0.631021136,1.584732972
so good,0.421697221,2.371369673
so grateful,0.822677455,1.215543217
so hard,1.039228146,0.962252614
so incredible,0.776715873,1.28747208
so many of,3.096315104,0.322964545
so more,1.305363621,0.76607007
so much money,0.414975183,2.409782661
so powerful,0.577488615,1.731635871
so strong,0.380315228,2.629397738
so that,1.286383773,0.77737299
so that they,1.206722969,0.828690615
social,2.058800487,0.485719722
solar,3.828800023,0.261178436
solutions,1.145601002,0.872904264
somebody,0.605580455,1.651308249
someone,1.617070482,0.618402235
someone who,1.281025293,0.780624712
south korea,0.520578848,1.920938592
special interests,0.618612671,1.616520397
speech,0.747168254,1.338386628
spent,0.913312252,1.094915784
stacked,2.32771308,0.429606213
stake,2.559223806,0.390743474
stake in,1.663387182,0.601182942
stakes,3.437797292,0.290883934
stand,2.374897917,0.42107073
stand in,1.069426047,0.935081021
stand in the,1.131186737,0.884027338
stand up,0.998957221,1.001043868
stand up for,0.938973219,1.064993101
stand up to,1.514422306,0.660317796
stand with,1.017976366,0.982341077
standing up,2.579619704,0.38765404
start,1.652349788,0.605198734
state,1.525727494,0.655425037
state and,1.550243921,0.645059778
statement,0.298115404,3.354405668
stay,1.004694,0.995327931
stay ahead,1.143308573,0.87465451
still,2.387857295,0.418785495
strategy,2.249365481,0.444569817
street,1.053591579,0.949134389
strengthen,2.160104736,0.462940515
stronger than,0.805952211,1.240768357
struggle,2.203533325,0.453816599
struggling,2.717944433,0.367925108
student,2.80537494,0.356458592
student debt,2.277332506,0.43911023
students,1.767803472,0.565673739
stuff,0.421545286,2.372224371
stupid,0.229467184,4.357921612
stupid people,0.788181754,1.268742895
subject,0.297461407,3.361780647
substance,1.88361901,0.530892922
substance abuse,1.444343603,0.692356028
succeed,1.377703887,0.725845379
sudden,0.445852514,2.242894162
support,1.491858743,0.670304749
support and,1.161753451,0.860767832
supporting,1.91231165,0.522927317
supposed,0.604917337,1.653118432
supposed to,0.489741326,2.041894254
supposed to be,0.37007329,2.702167456
supreme,1.000512518,0.999487744
supreme court,1.004305175,0.99571328
sure,1.396326008,0.716165132
sure that,0.849954812,1.176533136
sure that the,1.178137197,0.848797579
sure that we,1.123039774,0.890440413
sure we,2.708595239,0.369195067
syria,1.159583538,0.862378576
systems,2.517778307,0.397175556
tackle,2.144292653,0.466354254
take care,0.457642114,2.185113585
take care of,0.639029754,1.564872361
take hard,1.380801812,0.724216895
take look,0.385527397,2.593849378
take look at,0.607960197,1.644844524
take on,2.181370733,0.458427348
take on the,1.340712006,0.745872339
taken,0.588812656,1.698333061
takes to,1.03025084,0.970637404
talk to,3.032650669,0.32974454
talking about,0.789084778,1.267290953
talking about it,0.962662009,1.038786189
talking to,3.568168068,0.280255857
tax code,1.561142095,0.640556682
taxes on,0.958346163,1.043464291
taxes on the,1.240954596,0.805831256
taxpayers,2.126188712,0.470325138
teach,1.469098498,0.680689553
